Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D	
Act	1	1	In the opening of Acts, to whom does Luke address his account?	1	A	Theophilus	Timothy	Titus	Cornelius	
Act	1	2	In the opening of Acts, Luke says his former book dealt with all that Jesus began to do and to what?	1	D	Heal	Preach	Prophesy	Teach	
Act	1	3	According to the opening of Acts, Luke's first book covered all that Jesus did until what day?	2	D	The day he was crucified	The day of Pentecost	The day he was baptized	The day he was taken up	
Act	1	4	In the opening of Acts, through what did Jesus give commands to the apostles he had chosen?	2	B	Angels	The Holy Spirit	Moses	The prophets	
Act	1	5	In the opening of Acts, Jesus gave commands through the Holy Spirit to whom?	2	A	The apostles whom he had chosen	The seventy disciples	The crowds who followed him	The rulers of the synagogue	
Act	1	6	After his suffering, over what period did the risen Jesus present himself alive to the apostles by many proofs?	3	D	Three days	A long weekend	Fifty days	Forty days	
Act	1	7	During his appearances to the apostles after the resurrection, about what did Jesus speak?	3	C	The destruction of the temple	The law of Moses	The kingdom of God	The end of the age	
Act	1	8	Before his ascension, Jesus ordered the apostles not to depart from which city, but to wait for the promise of the Father?	4	A	Jerusalem	Bethany	Galilee	Nazareth	
Act	1	9	Before he ascended, what did Jesus tell the apostles to wait for in Jerusalem?	4	B	The return of Elijah	The promise of the Father	The rebuilding of the temple	A sign from heaven	
Act	1	10	Which of the following did Jesus tell the apostles shortly before he ascended?	4-5	D	To not depart from Jerusalem	To wait for the promise of the Father	That they would be baptized with the Holy Spirit	All of the above	
Act	1	11	Before his ascension, Jesus said John baptized with water, but the apostles would be baptized with what?	5	C	Fire	Power	The Holy Spirit	Living water	
Act	1	12	When the apostles came together with Jesus just before his ascension, what did they ask him?	6	B	“Lord, when will the temple be rebuilt?”	“Lord, will you at this time restore the kingdom to Israel?”	“Lord, who is the greatest among us?”	“Lord, will you now judge the nations?”	
Act	1	13	When the apostles asked Jesus whether he would restore the kingdom to Israel, how did he answer about the timing?	7	C	“The time is at hand”	“No one knows the day or the hour”	“It is not for you to know times or seasons that the Father has fixed by his own authority”	“Within three days it will come”	
Act	1	14	Just before he ascended, Jesus said the apostles would receive power when what had come upon them?	8	D	An angel of the Lord	Fire from heaven	A great light	The Holy Spirit	
Act	1	15	Just before he ascended, Jesus said the apostles would be his witnesses in Jerusalem, in all Judea and Samaria, and where else?	8	C	Throughout Galilee	In Egypt and Rome	To the end of the earth	Among the Gentiles	
Act	1	16	At Jesus' ascension, what took him out of the apostles' sight as they were looking on?	9	B	A chariot of fire	A cloud	A bright light	An angel	
Act	1	17	As the apostles gazed into heaven at Jesus' ascension, who suddenly stood by them?	10	A	Two men in white robes	Two angels with flaming swords	Moses and Elijah	A great multitude	
Act	1	18	At Jesus' ascension, the two men in white robes asked the apostles, “Why do you stand looking into ___?”	11	B	The clouds	Heaven	The distance	The sky	
Act	1	19	At Jesus' ascension, how did the two men in white robes address the apostles?	11	D	“Men of Israel”	“Men of Judea”	“Brothers”	“Men of Galilee”	
Act	1	20	At Jesus' ascension, what did the two men in white robes say Jesus, who was taken into heaven, would do?	11	B	Send fire upon the nations	Come in the same way as they saw him go into heaven	Return within forty days	Appear again in Galilee	
Act	1	21	After Jesus ascended, from what mount did the apostles return to Jerusalem?	12	B	Mount Sinai	The mount called Olivet	Mount Zion	The Mount of Transfiguration	
